@RELATION training_keyboard

@ATTRIBUTE positionX NUMERIC
@ATTRIBUTE positionY NUMERIC
@ATTRIBUTE numGhosts NUMERIC
@ATTRIBUTE alive1 {True, False}
@ATTRIBUTE alive2 {True, False}
@ATTRIBUTE alive3 {True, False}
@ATTRIBUTE alive4 {True, False}
@ATTRIBUTE position1X NUMERIC
@ATTRIBUTE position1Y NUMERIC
@ATTRIBUTE position2X NUMERIC
@ATTRIBUTE position2Y NUMERIC
@ATTRIBUTE position3X NUMERIC
@ATTRIBUTE position3Y NUMERIC
@ATTRIBUTE position4X NUMERIC
@ATTRIBUTE position4Y NUMERIC
@ATTRIBUTE distance1 NUMERIC
@ATTRIBUTE distance2 NUMERIC
@ATTRIBUTE distance3 NUMERIC
@ATTRIBUTE distance4 NUMERIC
@ATTRIBUTE distanceNearestFood NUMERIC
@ATTRIBUTE actualScore NUMERIC
@ATTRIBUTE foodCount NUMERIC
@ATTRIBUTE movement {Stop, South, East, West, North}
@ATTRIBUTE nextScore NUMERIC
@ATTRIBUTE nextNumGhost NUMERIC
@ATTRIBUTE nextFoodCount NUMERIC

@data
11,3,2,False,False,True,True,1,1,3,1,19,12,22,9,-1,-1,17,17,2,1277,112,East,1276,2,112
12,3,2,False,False,True,True,1,1,3,1,19,12,22,9,-1,-1,16,16,1,1276,112,East,1275,2,112
13,3,2,False,False,True,True,1,1,3,1,19,12,22,9,-1,-1,15,15,2,1275,112,East,1274,2,112
13,4,2,False,False,True,True,1,1,3,1,19,12,22,9,-1,-1,14,14,1,1274,112,North,1273,2,112
13,5,2,False,False,True,True,1,1,3,1,19,12,22,9,-1,-1,13,13,1,1273,112,North,1272,2,112
13,6,2,False,False,True,True,1,1,3,1,19,12,22,9,-1,-1,12,12,2,1272,112,North,1271,2,112
13,7,2,False,False,True,True,1,1,3,1,19,12,22,9,-1,-1,11,11,1,1271,112,North,1270,2,112
13,8,2,False,False,True,True,1,1,3,1,19,12,22,9,-1,-1,10,10,1,1270,112,North,1269,2,112
13,9,2,False,False,True,True,1,1,3,1,19,12,22,9,-1,-1,9,9,2,1269,112,North,1268,2,112
13,10,2,False,False,True,True,1,1,3,1,19,12,22,9,-1,-1,8,10,1,1268,112,North,1267,2,112
13,11,2,False,False,True,True,1,1,3,1,19,12,22,9,-1,-1,7,11,1,1267,112,North,1266,2,112
14,11,2,False,False,True,True,1,1,3,1,19,12,22,9,-1,-1,6,10,1,1266,112,East,1365,2,111
15,11,2,False,False,True,True,1,1,3,1,19,12,22,9,-1,-1,5,9,1,1365,111,East,1464,2,110
16,11,2,False,False,True,True,1,1,3,1,19,12,22,9,-1,-1,4,8,1,1464,110,East,1463,2,110
16,12,2,False,False,True,True,1,1,3,1,19,12,22,9,-1,-1,3,9,1,1463,110,North,1462,2,110
16,12,2,False,False,True,True,1,1,3,1,19,12,22,9,-1,-1,3,9,1,1462,110,North,1561,2,109
17,12,2,False,False,True,True,1,1,3,1,19,12,22,9,-1,-1,2,8,1,1561,109,East,1660,2,108
18,12,2,False,False,True,True,1,1,3,1,19,12,22,9,-1,-1,1,7,2,1660,108,East,1859,1,108
19,12,1,False,False,False,True,1,1,3,1,5,1,22,9,-1,-1,-1,6,1,1859,108,East,1958,1,107
20,12,1,False,False,False,True,1,1,3,1,5,1,22,9,-1,-1,-1,5,1,1958,107,East,1957,1,107
21,12,1,False,False,False,True,1,1,3,1,5,1,22,9,-1,-1,-1,4,1,1957,107,East,1956,1,107
22,12,1,False,False,False,True,1,1,3,1,5,1,22,9,-1,-1,-1,3,1,1956,107,East,2055,1,106
22,11,1,False,False,False,True,1,1,3,1,5,1,22,9,-1,-1,-1,2,1,2055,106,South,2154,1,105
22,10,1,False,False,False,True,1,1,3,1,5,1,22,9,-1,-1,-1,1,1,2154,105,South,2353,0,105
22,9,0,False,False,False,False,1,1,3,1,5,1,22,9,-1,-1,-1,-1,1,2353,105,South,2353,0,105
1,6,4,True,True,True,True,7,4,8,6,11,3,16,6,8,7,13,16,-1,-1,0,Stop,-2,4,0
