@RELATION training_keyboard

@ATTRIBUTE positionX NUMERIC
@ATTRIBUTE positionY NUMERIC
@ATTRIBUTE numGhosts NUMERIC
@ATTRIBUTE alive1 {True, False}
@ATTRIBUTE alive2 {True, False}
@ATTRIBUTE alive3 {True, False}
@ATTRIBUTE alive4 {True, False}
@ATTRIBUTE position1X NUMERIC
@ATTRIBUTE position1Y NUMERIC
@ATTRIBUTE position2X NUMERIC
@ATTRIBUTE position2Y NUMERIC
@ATTRIBUTE position3X NUMERIC
@ATTRIBUTE position3Y NUMERIC
@ATTRIBUTE position4X NUMERIC
@ATTRIBUTE position4Y NUMERIC
@ATTRIBUTE distance1 NUMERIC
@ATTRIBUTE distance2 NUMERIC
@ATTRIBUTE distance3 NUMERIC
@ATTRIBUTE distance4 NUMERIC
@ATTRIBUTE nearestGhostUp {True, False}
@ATTRIBUTE nearestGhostDown {True, False}
@ATTRIBUTE nearestGhostLeft {True, False}
@ATTRIBUTE nearestGhostRight {True, False}
@ATTRIBUTE angleClosestGhost NUMERIC
@ATTRIBUTE hasWallEast {True, False}
@ATTRIBUTE hasWallSouth {True, False}
@ATTRIBUTE hasWallWest {True, False}
@ATTRIBUTE hasWallNorth {True, False}
@ATTRIBUTE distanceNearestFood NUMERIC
@ATTRIBUTE actualScore NUMERIC
@ATTRIBUTE foodCount NUMERIC
@ATTRIBUTE movement {Stop, South, East, West, North}
@ATTRIBUTE nextScore NUMERIC
@ATTRIBUTE nextNumGhost NUMERIC
@ATTRIBUTE nextFoodCount NUMERIC

@data
7,4,3,False,True,True,True,1,1,15,11,20,10,21,7,-1,15,19,17,True,False,False,True,41,False,False,False,False,1,1670,106,North,1669,3,106
8,4,3,False,True,True,True,1,1,15,10,20,10,22,7,-1,13,18,17,True,False,False,True,41,False,False,False,False,2,1669,106,East,1668,3,106
9,4,3,False,True,True,True,1,1,15,10,20,10,23,7,-1,12,17,17,True,False,False,True,45,False,False,False,False,1,1668,106,East,1767,3,105
10,4,3,False,True,True,True,1,1,15,10,21,10,22,7,-1,11,17,15,True,False,False,True,50,False,False,False,False,1,1767,105,East,1866,3,104
10,5,3,False,True,True,True,1,1,15,11,21,10,22,7,-1,11,16,14,True,False,False,True,50,False,False,False,False,1,1866,104,North,1965,3,103
10,6,3,False,True,True,True,1,1,15,11,20,10,22,8,-1,10,14,14,True,False,False,True,45,False,False,False,False,1,1965,103,North,2064,3,102
10,7,3,False,True,True,True,1,1,15,10,19,10,23,8,-1,8,12,14,True,False,False,True,31,False,False,False,False,1,2064,102,North,2163,3,101
10,8,3,False,True,True,True,1,1,16,10,19,10,23,8,-1,8,11,13,True,False,False,True,18,False,False,False,False,2,2163,101,North,2162,3,101
11,8,3,False,True,True,True,1,1,16,11,19,11,23,9,-1,8,11,13,True,False,False,True,31,False,False,False,False,1,2162,101,East,2261,3,100
12,8,3,False,True,True,True,1,1,17,11,19,10,22,9,-1,8,9,11,True,False,False,True,31,False,False,False,False,2,2261,100,East,2260,3,100
