@RELATION training_keyboard

@ATTRIBUTE positionX NUMERIC
@ATTRIBUTE positionY NUMERIC
@ATTRIBUTE numGhosts NUMERIC
@ATTRIBUTE alive1 {True, False}
@ATTRIBUTE alive2 {True, False}
@ATTRIBUTE alive3 {True, False}
@ATTRIBUTE alive4 {True, False}
@ATTRIBUTE position1X NUMERIC
@ATTRIBUTE position1Y NUMERIC
@ATTRIBUTE position2X NUMERIC
@ATTRIBUTE position2Y NUMERIC
@ATTRIBUTE position3X NUMERIC
@ATTRIBUTE position3Y NUMERIC
@ATTRIBUTE position4X NUMERIC
@ATTRIBUTE position4Y NUMERIC
@ATTRIBUTE distance1 NUMERIC
@ATTRIBUTE distance2 NUMERIC
@ATTRIBUTE distance3 NUMERIC
@ATTRIBUTE distance4 NUMERIC
@ATTRIBUTE distanceNearestFood NUMERIC
@ATTRIBUTE actualScore NUMERIC
@ATTRIBUTE foodCount NUMERIC
@ATTRIBUTE movement {Stop, South, East, West, North}
@ATTRIBUTE nextScore NUMERIC
@ATTRIBUTE nextNumGhost NUMERIC
@ATTRIBUTE nextFoodCount NUMERIC

@data
1,7,4,True,True,True,True,9,4,12,4,21,10,22,11,11,14,23,26,1,1275,108,West,1374,4,107
1,6,4,True,True,True,True,9,4,12,4,21,10,22,12,10,13,24,26,1,1374,107,South,1473,4,106
1,5,4,True,True,True,True,10,4,11,4,22,10,22,11,10,11,26,26,1,1473,106,South,1572,4,105
1,4,4,True,True,True,True,9,4,11,4,22,9,22,10,8,10,26,28,1,1572,105,South,1671,4,104
1,3,4,True,True,True,True,8,4,11,5,22,10,23,10,8,12,28,29,1,1671,104,South,1770,4,103
2,3,4,True,True,True,True,8,5,11,5,22,10,23,10,8,11,27,27,1,1770,103,East,1869,4,102
2,4,4,True,True,True,True,9,5,11,4,22,9,23,9,8,9,25,25,1,1869,102,North,1968,4,101
2,5,4,True,True,True,True,10,5,11,3,23,9,23,8,8,11,25,23,1,1968,101,North,2067,4,100
2,6,4,True,True,True,True,10,5,11,3,23,10,22,8,9,12,25,23,3,2067,100,North,2066,4,100
2,7,4,True,True,True,True,10,6,12,3,23,11,23,8,9,14,25,23,2,2066,100,North,2065,4,100
